sym,name
000009.SZ,中国宝安
000049.SZ,德赛电池
000400.SZ,许继电气
000530.SZ,冰山冷热
000533.SZ,顺钠股份
000570.SZ,苏常柴Ａ
000585.SZ,*ST东电
000595.SZ,宝塔实业
000682.SZ,东方电子
000777.SZ,中核科技
000806.SZ,ST银河
000856.SZ,冀东装备
000880.SZ,潍柴重机
000922.SZ,佳电股份
001208.SZ,华菱线缆
002026.SZ,山东威达
002028.SZ,思源电气
002046.SZ,国机精工
002074.SZ,国轩高科
002112.SZ,三变科技
